Date,Revenue,Type
2023-01-01,7427821.05,Actual
2023-02-01,5627477.45,Actual
2023-03-01,6008259.41,Actual
2023-04-01,5468497.62,Actual
2023-05-01,5800626.51,Actual
2023-06-01,6142561.23,Actual
2023-07-01,4751432.42,Actual
2023-08-01,6716190.61,Actual
2023-09-01,4557015.58,Actual
2023-10-01,6560606.39,Actual
2023-11-01,4958930.19,Actual
2023-12-01,6250242.79,Actual
2024-01-01,60279.46000000001,Actual
2024-02-01,2761516.7480000095,Forecast
2024-03-01,3650056.5903750085,Forecast
2024-04-01,4313783.283675006,Forecast
2024-05-01,4378070.235000006,Forecast
2024-06-01,4423799.195325005,Forecast
2024-07-01,4423918.993700005,Forecast
